course_id,lecture_number,title,description,default_course_number,downloadfname,audioAvailable,audioduration,audiostreamid,audiodownloadFsize,videoavailable,videoduration,videodownloadFSizePC,videodownloadFSizeMac,videostreamid
Expected Records,150,,,,,,,,,,,,,
101,1,An Overview,An introduction to the subject of algebra and the variety of content and approaches offered to students in this unique course.,,,0,0,,0,0,0,0,0,
101,2,The Evolution of Numbers,"Dr. Neagoy traces the development of numbers from the natural numbers through the integers, rationals, and irrationals and finally, to the real numbers.",,,0,0,,0,0,0,0,0,
101,3,The Language of Algebra,Dr. Neagoy presents the essential components of the language of algebra and discusses operations on monomials and polynomials.,,,0,0,,0,0,0,0,0,
101,4,Exploring Functions with the Aid of Graphing Calculators,"The various meanings of a variable depending on its placement in a formula, equation, identity, property, or function are examined.",,,0,0,,0,0,0,0,0,
101,5,Linear Functions—Introductory Explorations,This lesson sets the stage for linear functions by exploring real-life situations that yield functions of the form f(x)=y=ax+b.,,,0,0,,0,0,0,0,0,
101,6,Multiple Representations of Linear Functions,"This lesson explores linear functions through stories written in English words, equations written in algebraic symbols, input/output tables written in numbers, and graphs written in points.",,,0,0,,0,0,0,0,0,
101,7,The Geometry of Linear Function Graphs,This lesson focuses on the graphical representation of linear functions. Students will examine the relationship between the values of the coefficients a and b in the equation f(x)=y=ax+b and the position of the line in the xy-plane.,,,0,0,,0,0,0,0,0,
101,8,"Words, Equations, Numbers, and Graphs",The usual one-way method of teaching problem solving in algebra is reversed and invigorated as students move from a graph or a table to an equation and then to an appropriate problem situation.,,,0,0,,0,0,0,0,0,
101,9,Problem Solving with Linear Equations,A discussion of the importance of problem-solving through algebra's history sets the stage for tackling some of today's real-world problems involving linear equations. Two methods of solving linear equations are highlighted: functional exploration and symbolic manipulation.,,,0,0,,0,0,0,0,0,
101,10,Modeling Real-World Data with Linear Functions,"Students will learn how to construct a mathematical model and then use it to answer questions, make predictions, and guide decisions in many important real-life problems.",,,0,0,,0,0,0,0,0,
101,11,Linear Functions and Geometry,We end the section on linear functions by connecting algebra with geometry. Two linear functions relating geometric magnitudes are discovered: The first relates the circumference to the diameter in any circle and the second relates the sum of the angles to the number of sides in any polygon.,,,0,0,,0,0,0,0,0,
101,12,Quadratic Functions—Introductory Explorations I,A fascinating visual introduction to quadratic functions traces the evolution of these expressions from the ancient Greeks and Egyptians through Renaissance mathematicians to a famous 19th-century figure.,,,0,0,,0,0,0,0,0,
101,13,Quadratic Functions—Introductory Explorations II,Continuing the evolution of quadratic functions from the ancient Greeks and Egyptians through Renaissance mathematicians to a famous 19th-century figure.,,,0,0,,0,0,0,0,0,
101,14,The Geometry of Quadratic Function Graphs,"The lesson focuses on the graphical representation of quadratic functions. Students will examine the relationship between the values of the coefficients a, b, and c in the equation f(x)=y=ax^2+bx+c and the position and shape of the parabola in the xy-plane.",,,0,0,,0,0,0,0,0,
101,15,"Words, Equations, Numbers, and Graphs",Dr. Neagoy shows how to derive a quadratic equation from an input/output table or from a graph. The method of finite differences is presented formally.,,,0,0,,0,0,0,0,0,
101,16,Problem Solving with Quadratic Equations,Real-world concrete and abstract problems are tackled with quadratic equations. Students learn how quadratic equations can be solved via functional exploration rather than more advanced techniques taught in later algebra courses.,,,0,0,,0,0,0,0,0,
101,17,Modeling Real-World Data with Quadratic Functions,"In this lesson we engage in mathematical modeling once again, but now the models are quadratic functions applicable to economics and physics.",,,0,0,,0,0,0,0,0,
101,18,Polynomial Explorations (Degree Greater than Two),Two interesting explorations&mdash;a classic volume optimization problem and a colorful cube-counting problem&mdash;help introduce cubic functions (polynomial functions of degree three).,,,0,0,,0,0,0,0,0,
101,19,Rational Functions—Introductory Explorations,The stage is set for rational functions by exploring real-world situations and the reciprocal function f(x)=1/x. The real-world exploration examines an interesting geometric relationship keeping the area of a plane figure constant while varying its perimeter.,,,0,0,,0,0,0,0,0,
101,20,The Geometry of Rational Function Graphs,"The lesson explores the graphical representation of rational functions (f(x)=n(x)/d(x) does not = 0). Students will establish connections between the coefficients in the algebraic expression and the position and shape of the hyperbola in the xy-plane. The meanings of zeros, intercepts, and asymptotes are also discussed.",,,0,0,,0,0,0,0,0,
101,21,Working with Rational Functions and Equations,"Rational expressions are applied to solving two concrete real-world problems. The first deals with the concepts of distance, average speed, and time; the second is an optimization problem dealing with surface area.",,,0,0,,0,0,0,0,0,
101,22,Exponential Functions—Introductory Explorations,The mythical story behind the invention of chess and a mind-boggling paper-folding exercise help introduce the last family of functions to be visited in this course&mdash;exponential functions.,,,0,0,,0,0,0,0,0,
101,23,The Geometry of Exponential Function Graphs,"This lesson explores the graphical representation of exponential functions (f(x)=b^x, b>0). Students learn to identify correspondences between the symbols in the algebraic expression and the shape and position of the graph in the xy-plane.",,,0,0,,0,0,0,0,0,
101,24,Working with Exponential Functions and Equations,Mathematical modeling comes to good use again with exponential functions and their multiple representations as models in sports analysis and chemistry.,,,0,0,,0,0,0,0,0,
101,25,Systems of Linear Functions and Equations,"Two approaches to solving systems of linear equations are explored: functional exploration (graph and input/output table) and symbol manipulation (substitution and elimination). We conclude with the three possible cases: consistent, inconsistent, and linearly dependent equations.",,,0,0,,0,0,0,0,0,
101,26,Using Matrices to Solve Linear Systems,"Thanks to the power of mathematics technology, students can now use the powerful tool of matrix algebra to solve systems of <em>n</em> linear equations in <em>n</em> unknown.",,,0,0,,0,0,0,0,0,
101,27,Systems of Functions and Equations,The concept of solving systems of functions/equations is extended to other combinations of functions including quadratic/linear and rational/linear.,,,0,0,,0,0,0,0,0,
